!!ObjTables schema='SBtab' type='Data' tableFormat='row' class='Reaction' name='Reaction' date='2020-07-18 12:20:25' objTablesVersion='1.0.5' document='MODEL1507180055',,,,,,,,,,,,,
!Name,!ID,!ReactionFormula,!IsComplete,!IsReversible,!IsInEquilibrium,!IsExchangeReaction,!IsNonEnzymatic,!BuildReaction,!BuildEnzyme,!BuildEnzymeProduction,!SBML:fbc:GeneAssociation,!SBML:fbc:LowerBound,!SBML:fbc:UpperBound
EX_ahandrostanglc_e,R_EX_ahandrostanglc_e,M_ahandrostanglc_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_ak2lgchol_hs_e,R_EX_ak2lgchol_hs_e,M_ak2lgchol_hs_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_akg_e,R_EX_akg_e,M_akg_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_ala__B_e,R_EX_ala__B_e,M_ala__B_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_ala__D_e,R_EX_ala__D_e,M_ala__D_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_ala__L_e,R_EX_ala__L_e,M_ala__L_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_aldstrn_e,R_EX_aldstrn_e,M_aldstrn_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_amp_e,R_EX_amp_e,M_amp_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_andrstrn_e,R_EX_andrstrn_e,M_andrstrn_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_andrstrnglc_e,R_EX_andrstrnglc_e,M_andrstrnglc_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_antipyrene_e,R_EX_antipyrene_e,M_antipyrene_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_apnnox_e,R_EX_apnnox_e,M_apnnox_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_appnn_e,R_EX_appnn_e,M_appnn_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_aprgstrn_e,R_EX_aprgstrn_e,M_aprgstrn_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_aqcobal_e,R_EX_aqcobal_e,M_aqcobal_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_arab__L_e,R_EX_arab__L_e,M_arab__L_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_arach_e,R_EX_arach_e,M_arach_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_arachd_e,R_EX_arachd_e,M_arachd_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_arg__L_e,R_EX_arg__L_e,M_arg__L_e <=> ,False,True,False,False,False,False,False,False,,R_EX_arg__L_e_lower_bound,cobra_default_ub
EX_ascb__L_e,R_EX_ascb__L_e,M_ascb__L_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_asn__L_e,R_EX_asn__L_e,M_asn__L_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_asp__D_e,R_EX_asp__D_e,M_asp__D_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_asp__L_e,R_EX_asp__L_e,M_asp__L_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_atp_e,R_EX_atp_e,M_atp_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_avite1_e,R_EX_avite1_e,M_avite1_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_avite2_e,R_EX_avite2_e,M_avite2_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_bhb_e,R_EX_bhb_e,M_bhb_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_bildglcur_e,R_EX_bildglcur_e,M_bildglcur_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
