!!ObjTables schema='SBtab' type='Data' tableFormat='row' class='Gene' name='Gene' date='2020-07-18 12:20:25' objTablesVersion='1.0.5' document='MODEL1507180055',,,,,
!ID,!SBML:fbc:ID,!SBML:fbc:Name,!SBML:fbc:GeneProduct,!SBML:fbc:GeneAssociation,!SBML:fbc:Label
G_20249,G_20249,20249,True,False,20249
G_20280,G_20280,20280,True,False,20280
G_20322,G_20322,20322,True,False,20322
G_20397,G_20397,20397,True,False,20397
G_20425,G_20425,20425,True,False,20425
G_20440,G_20440,20440,True,False,20440
G_20442,G_20442,20442,True,False,20442
G_20443,G_20443,20443,True,False,20443
G_20444,G_20444,20444,True,False,20444
G_20445,G_20445,20445,True,False,20445
G_20446,G_20446,20446,True,False,20446
G_20447,G_20447,20447,True,False,20447
G_20449,G_20449,20449,True,False,20449
G_20454,G_20454,20454,True,False,20454
G_20493,G_20493,20493,True,False,20493
G_20494,G_20494,20494,True,False,20494
G_20495,G_20495,20495,True,False,20495
G_20496,G_20496,20496,True,False,20496
G_20497,G_20497,20497,True,False,20497
G_20498,G_20498,20498,True,False,20498
G_20499,G_20499,20499,True,False,20499
G_20500,G_20500,20500,True,False,20500
G_20501,G_20501,20501,True,False,20501
G_20502,G_20502,20502,True,False,20502
G_20503,G_20503,20503,True,False,20503
G_20504,G_20504,20504,True,False,20504
G_20505,G_20505,20505,True,False,20505
G_20508,G_20508,20508,True,False,20508
G_20509,G_20509,20509,True,False,20509
G_20510,G_20510,20510,True,False,20510
G_20511,G_20511,20511,True,False,20511
G_20512,G_20512,20512,True,False,20512
G_20513,G_20513,20513,True,False,20513
G_20514,G_20514,20514,True,False,20514
G_20515,G_20515,20515,True,False,20515
G_20516,G_20516,20516,True,False,20516
G_20517,G_20517,20517,True,False,20517
G_20518,G_20518,20518,True,False,20518
G_20519,G_20519,20519,True,False,20519
G_20520,G_20520,20520,True,False,20520
G_20522,G_20522,20522,True,False,20522
G_20523,G_20523,20523,True,False,20523
